,Unnamed: 0,Pvm.,Aika,Ottelu,Linkit,Tulos,Unnamed: 6,Yleisöä
54,55,,18:30,Sport  -  Tappara,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,JA,2551
55,56,Ke 3.10.2018,18:30,Ilves  -  HIFK,Kokoonpanot  |  Seuranta  | Tilastot,3 — 0,,4724
56,57,,18:30,KalPa  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,3 — 2,,3032
57,58,,18:30,Ässät  -  TPS,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,JA,4012
58,59,To 4.10.2018,18:30,HIFK  -  Jukurit,Kokoonpanot  |  Seuranta  | Tilastot,4 — 3,,6012
59,60,,18:30,Lukko  -  JYP,Kokoonpanot  |  Seuranta  | Tilastot,5 — 3,,2846
60,61,,18:30,Pelicans  -  Sport,Kokoonpanot  |  Seuranta  | Tilastot,3 — 4,VL,3057
61,62,,18:30,Tappara  -  Kärpät,Kokoonpanot  |  Seuranta  | Tilastot,2 — 4,,4765
62,63,Pe 5.10.2018,18:30,KalPa  -  Ässät,Kokoonpanot  |  Seuranta  | Tilastot,4 — 2,,3030
63,64,,18:30,KooKoo  -  HPK,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,VL,2876
64,65,,18:30,TPS  -  SaiPa,Kokoonpanot  |  Seuranta  | Tilastot,3 — 0,,4698
65,66,La 6.10.2018,16:00,Lukko  -  SaiPa,Kokoonpanot  |  Seuranta  | Tilastot,0 — 1,,3382
66,67,,17:00,HPK  -  KalPa,Kokoonpanot  |  Seuranta  | Tilastot,5 — 1,,3280
67,68,,17:00,Jukurit  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,5 — 2,,2803
68,69,,17:00,JYP  -  Tappara,Kokoonpanot  |  Seuranta  | Tilastot,4 — 3,VL,4017
69,70,,17:00,Pelicans  -  Ilves,Kokoonpanot  |  Seuranta  | Tilastot,4 — 5,JA,3665
70,71,,18:30,Kärpät  -  Ässät,Kokoonpanot  |  Seuranta  | Tilastot,7 — 2,,5082
71,72,Ke 10.10.2018,18:30,HPK  -  Sport,Kokoonpanot  |  Seuranta  | Tilastot,1 — 3,,3091
72,73,,18:30,Ilves  -  Jukurit,Kokoonpanot  |  Seuranta  | Tilastot,1 — 0,,4253
73,74,,18:30,KalPa  -  SaiPa,Kokoonpanot  |  Seuranta  | Tilastot,3 — 4,VL,3522
74,75,,18:30,KooKoo  -  Lukko,Kokoonpanot  |  Seuranta  | Tilastot,1 — 4,,2612
75,76,,18:30,Ässät  -  Pelicans,Kokoonpanot  |  Seuranta  | Tilastot,2 — 5,,3676
76,77,To 11.10.2018,18:30,HIFK  -  TPS,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,JA,7132
77,78,,18:30,JYP  -  Kärpät,Kokoonpanot  |  Seuranta  | Tilastot,0 — 1,,3691
78,79,,18:30,Lukko  -  HPK,Kokoonpanot  |  Seuranta  | Tilastot,1 — 4,,2854
79,80,Pe 12.10.2018,18:30,Sport  -  Ilves,Kokoonpanot  |  Seuranta  | Tilastot,3 — 8,,2937
80,81,,18:30,Tappara  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,3 — 2,,4029
81,82,La 13.10.2018,16:00,HPK  -  Pelicans,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,,3593
82,83,,17:00,Kärpät  -  Sport,Kokoonpanot  |  Seuranta  | Tilastot,5 — 0,,5002
83,84,,17:00,SaiPa  -  JYP,Kokoonpanot  |  Seuranta  | Tilastot,3 — 2,JA,3751
84,85,,18:30,KalPa  -  HIFK,Kokoonpanot  |  Seuranta  | Tilastot,0 — 4,,4544
85,86,,18:30,TPS  -  Tappara,Kokoonpanot  |  Seuranta  | Tilastot,0 — 1,,7637
86,87,,18:30,Ässät  -  Lukko,Kokoonpanot  |  Seuranta  | Tilastot,5 — 4,VL,5291
87,88,Ti 16.10.2018,18:30,Jukurit  -  Ässät,Kokoonpanot  |  Seuranta  | Tilastot,0 — 2,,3234
88,89,Ke 17.10.2018,18:30,HPK  -  KalPa,Kokoonpanot  |  Seuranta  | Tilastot,3 — 1,,3414
89,90,,18:30,KooKoo  -  Ilves,Kokoonpanot  |  Seuranta  | Tilastot,4 — 3,JA,2915
90,91,,18:30,Lukko  -  Sport,Kokoonpanot  |  Seuranta  | Tilastot,5 — 1,,3467
91,92,Pe 19.10.2018,18:30,HPK  -  Jukurit,Kokoonpanot  |  Seuranta  | Tilastot,5 — 3,,3531
92,93,,18:30,Ilves  -  Tappara,Kokoonpanot  |  Seuranta  | Tilastot,2 — 4,,7300
93,94,,18:30,JYP  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,3 — 4,,3627
94,95,,18:30,KalPa  -  Kärpät,Kokoonpanot  |  Seuranta  | Tilastot,2 — 4,,4133
95,96,,18:30,Pelicans  -  TPS,Kokoonpanot  |  Seuranta  | Tilastot,2 — 4,,3796
96,97,,18:30,Sport  -  SaiPa,Kokoonpanot  |  Seuranta  | Tilastot,5 — 4,VL,2357
97,98,,18:30,Ässät  -  HIFK,Kokoonpanot  |  Seuranta  | Tilastot,1 — 4,,4630
98,99,La 20.10.2018,16:00,TPS  -  JYP,Kokoonpanot  |  Seuranta  | Tilastot,2 — 1,,5344
99,100,,17:00,Jukurit  -  KalPa,Kokoonpanot  |  Seuranta  | Tilastot,5 — 1,,3100
100,101,,17:00,KooKoo  -  Ässät,Kokoonpanot  |  Seuranta  | Tilastot,4 — 1,,3066
101,102,,17:00,Lukko  -  HIFK,Kokoonpanot  |  Seuranta  | Tilastot,5 — 3,,3502
102,103,,17:00,Tappara  -  Sport,Kokoonpanot  |  Seuranta  | Tilastot,3 — 0,,5412
103,104,,19:00,Kärpät  -  SaiPa,Kokoonpanot  |  Seuranta  | Tilastot,6 — 1,,5367
104,105,Ti 23.10.2018,18:30,KalPa  -  Ilves,Kokoonpanot  |  Seuranta  | Tilastot,2 — 6,,3090
105,106,Ke 24.10.2018,18:30,HIFK  -  Pelicans,Kokoonpanot  |  Seuranta  | Tilastot,2 — 4,,6564
106,107,,18:30,Kärpät  -  Tappara,Kokoonpanot  |  Seuranta  | Tilastot,1 — 2,,5872
107,108,,18:30,SaiPa  -  Lukko,Kokoonpanot  |  Seuranta  | Tilastot,4 — 1,,3124
108,109,,18:30,Sport  -  Jukurit,Kokoonpanot  |  Seuranta  | Tilastot,4 — 1,,2317
109,110,,18:30,Ässät  -  HPK,Kokoonpanot  |  Seuranta  | Tilastot,1 — 4,,3988
110,111,To 25.10.2018,18:30,Ilves  -  TPS,Kokoonpanot  |  Seuranta  | Tilastot,3 — 4,,5030
111,112,,18:30,JYP  -  Lukko,Kokoonpanot  |  Seuranta  | Tilastot,7 — 2,,3106
112,113,Pe 26.10.2018,18:30,HIFK  -  Tappara,Kokoonpanot  |  Seuranta  | Tilastot,4 — 0,,8200
113,114,,18:30,HPK  -  KooKoo,Kokoonpanot  |  Seuranta  | Tilastot,2 — 3,,3304
